,time_start,time_end,model,launch_place,target,launched,destroyed,source,missed,year,month,attack_duration
178,2025-02-26 20:00:00,2025-02-27 09:00:00,Shahed-136/131,Primorsko-Akhtarsk and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo,Ukraine,166.0,90.0,kpszsu/posts/pfbid0n8XBMkMWQkqN64x2J13PnxWazQV8BfpCdKR3P1mRL18Jbc1CYpi4LpYxPtb4AF39l,76.0,2025,2,0 days 13:00:00
179,2025-02-27 00:00:00,2025-02-27 00:00:00,ZALA,,south,1.0,1.0,PvKPivden/posts/pfbid0o3NyWJvdRJF8j33wtBSV4p4UvBs3NCPn4UezVdYoK9xk9K6vetJaMXCMkBi2LDupl,0.0,2025,2,0 days 00:00:00
180,2025-02-25 19:00:00,2025-02-26 09:00:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo,Ukraine,177.0,110.0,kpszsu/posts/pfbid0aSys1ALcy1SdwNzfsnMufTk54sg3bXMr6ANwyAxfySyHHK2iUPTuKvmqJw9Hmd35l,67.0,2025,2,0 days 14:00:00
181,2025-02-26 00:00:00,2025-02-26 00:00:00,ZALA,,south,1.0,1.0,PvKPivden/posts/pfbid0efcTvNatMKnU6sbkY784FnSBfocBYAgytHq8EqhB1WUGcYVhSqHH7LecTVkaK1p8l,0.0,2025,2,0 days 00:00:00
182,2025-02-26 00:00:00,2025-02-26 00:00:00,Lancet,,south,2.0,2.0,PvKPivden/posts/pfbid0efcTvNatMKnU6sbkY784FnSBfocBYAgytHq8EqhB1WUGcYVhSqHH7LecTVkaK1p8l,0.0,2025,2,0 days 00:00:00
183,2025-02-24 19:00:00,2025-02-25 11:00:00,X-101/X-555,,Ukraine,7.0,6.0,kpszsu/posts/pfbid02cSCNPkggxhsVXE7TccNjKnYGCPqkm54p9UC7pJRZGEekFvWWSYta237sRpE1CeTXl,1.0,2025,2,0 days 16:00:00
184,2025-02-24 19:00:00,2025-02-25 11:00:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast,Ukraine,213.0,133.0,kpszsu/posts/pfbid02cSCNPkggxhsVXE7TccNjKnYGCPqkm54p9UC7pJRZGEekFvWWSYta237sRpE1CeTXl,80.0,2025,2,0 days 16:00:00
185,2025-02-25 00:00:00,2025-02-25 00:00:00,ZALA,,south,1.0,1.0,PvKPivden/posts/pfbid02UKW2WFn3gvFvU4hiKqoxhGbczvnF12MT5AFdtcqsXcqZawVbhoGv2ZqqGhcBWz1Hl,0.0,2025,2,0 days 00:00:00
186,2025-02-25 00:00:00,2025-02-25 00:00:00,Supercam,,south,4.0,4.0,PvKPivden/posts/pfbid02UKW2WFn3gvFvU4hiKqoxhGbczvnF12MT5AFdtcqsXcqZawVbhoGv2ZqqGhcBWz1Hl,0.0,2025,2,0 days 00:00:00
187,2025-02-25 00:00:00,2025-02-25 00:00:00,Orlan-10,,south,1.0,1.0,PvKPivden/posts/pfbid02UKW2WFn3gvFvU4hiKqoxhGbczvnF12MT5AFdtcqsXcqZawVbhoGv2ZqqGhcBWz1Hl,0.0,2025,2,0 days 00:00:00
188,2025-02-25 00:00:00,2025-02-25 00:00:00,Lancet,,south,3.0,3.0,PvKPivden/posts/pfbid02UKW2WFn3gvFvU4hiKqoxhGbczvnF12MT5AFdtcqsXcqZawVbhoGv2ZqqGhcBWz1Hl,0.0,2025,2,0 days 00:00:00
189,2025-02-23 20:00:00,2025-02-24 08:00:00,Shahed-136/131,"Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast",Ukraine,185.0,113.0,kpszsu/posts/pfbid0FXkF6VEjxMhD8gU4J667PHNz6eQJpYzEJB8f3Y6A918uYMFi2APJFRyHbdpGSn3nl,72.0,2025,2,0 days 12:00:00
190,2025-02-24 00:00:00,2025-02-24 00:00:00,ZALA,,south,1.0,1.0,PvKPivden/posts/pfbid0Ya6gM6sKP4B8Uav8TN5XhdYme3zZ1tdaRtupquZSrLxMtfkGos3W5FwWmmQGBj6el,0.0,2025,2,0 days 00:00:00
191,2025-02-24 00:00:00,2025-02-24 00:00:00,Supercam,,south,1.0,1.0,PvKPivden/posts/pfbid0Ya6gM6sKP4B8Uav8TN5XhdYme3zZ1tdaRtupquZSrLxMtfkGos3W5FwWmmQGBj6el,0.0,2025,2,0 days 00:00:00
192,2025-02-24 00:00:00,2025-02-24 00:00:00,Lancet,,south,1.0,1.0,PvKPivden/posts/pfbid0Ya6gM6sKP4B8Uav8TN5XhdYme3zZ1tdaRtupquZSrLxMtfkGos3W5FwWmmQGBj6el,0.0,2025,2,0 days 00:00:00
